"This page no longer exists.","This page no longer exists."
"The page has been deleted.","The page has been deleted."
"This Page no longer exists.","This Page no longer exists."
"Landing Page ""%1""","Landing Page ""%1"""
"New Landing Page","New Landing Page"
"The page was removed by another user or does not exist.","The page was removed by another user or does not exist."
"You saved the page.","You saved the page."
"Landing Pages","Landing Pages"
Home,Home
"Go to Home Page","Go to Home Page"
Search,Search
Back,Back
Delete,Delete
"Are you sure you want to do this?","Are you sure you want to do this?"
"Save and Continue Edit","Save and Continue Edit"
Save,Save
Edit,Edit
"Delete the record with ID ""' . . '""","Delete the record with ID ""' . . '"""
"Are you sure you want to delete the record with ID ""' . . '""?","Are you sure you want to delete the record with ID ""' . . '""?"
"All Store Views","All Store Views"
Active,Active
"Store View","Store View"
Name,Name
"Search Engine Optimization","Search Engine Optimization"
"URL Key","URL Key"
"Page Title","Page Title"
"Meta Title","Meta Title"
"Meta Description","Meta Description"
"Robots Meta Tags","Robots Meta Tags"
Content,Content
"Top CMS Block","Top CMS Block"
"Bottom CMS Block","Bottom CMS Block"
"Layout Update XML","Layout Update XML"
Products,Products
Categories,Categories
"Search Term","Search Term"
"Add Record","Add Record"
Attribute,Attribute
Options,Options
"Add Landing Page","Add Landing Page"
ID,ID
